ID,Primary Cell Line Name,Compound,IC50 (uM)
184,NCI-H1694,AEW541,-0.9
185,NCI-H1694,Nilotinib,-0.9
186,NCI-H1694,17-AAG,-0.53
187,NCI-H1694,PHA-665752,-0.9
188,NCI-H1694,Lapatinib,-0.9
189,NCI-H1694,Nutlin-3,-0.9
190,NCI-H1694,AZD0530,-0.9
191,NCI-H1694,PF2341066,-0.9
192,NCI-H1694,L-685458,-0.9
193,NCI-H1694,ZD-6474,-0.9
194,NCI-H1694,Panobinostat,1.64
195,NCI-H1694,Sorafenib,-0.9
196,NCI-H1694,Irinotecan,1.31
197,NCI-H1694,Topotecan,1.22
198,NCI-H1694,LBW242,-0.9
199,NCI-H1694,PD-0325901,-0.9
200,NCI-H1694,PD-0332991,-0.9
201,NCI-H1694,Paclitaxel,1.73
202,NCI-H1694,AZD6244,-0.9
203,NCI-H1694,PLX4720,-0.9
204,NCI-H1694,RAF265,-0.9
205,NCI-H1694,TAE684,-0.9
206,NCI-H1694,TKI258,-0.9
207,NCI-H1694,Erlotinib,-0.9
208,NCI-H1048,AEW541,-0.9
209,NCI-H1048,Nilotinib,-0.9
210,NCI-H1048,17-AAG,1.31
211,NCI-H1048,PHA-665752,-0.9
212,NCI-H1048,Lapatinib,-0.9
213,NCI-H1048,Nutlin-3,-0.9
214,NCI-H1048,AZD0530,-0.49
215,NCI-H1048,PF2341066,-0.62
216,NCI-H1048,L-685458,-0.9
217,NCI-H1048,ZD-6474,-0.42
218,NCI-H1048,Panobinostat,1.3
219,NCI-H1048,Sorafenib,-0.86
220,NCI-H1048,Irinotecan,1.39
221,NCI-H1048,Topotecan,1.67
222,NCI-H1048,LBW242,-0.9
223,NCI-H1048,PD-0325901,-0.9
224,NCI-H1048,PD-0332991,-0.9
225,NCI-H1048,Paclitaxel,2.41
226,NCI-H1048,AZD6244,-0.9
227,NCI-H1048,PLX4720,-0.9
228,NCI-H1048,RAF265,-0.37
229,NCI-H1048,TAE684,-0.17
230,NCI-H1048,TKI258,-0.54
231,NCI-H1048,Erlotinib,-0.9
232,IA-LM,AEW541,-0.9
233,IA-LM,Nilotinib,-0.9
234,IA-LM,17-AAG,-0.9
235,IA-LM,PHA-665752,-0.9
236,IA-LM,Lapatinib,-0.9
237,IA-LM,Nutlin-3,-0.9
238,IA-LM,AZD0530,-0.9
239,IA-LM,PF2341066,-0.9
240,IA-LM,L-685458,-0.9
241,IA-LM,ZD-6474,-0.9
242,IA-LM,Panobinostat,0.93
243,IA-LM,Sorafenib,-0.82
244,IA-LM,Irinotecan,-0.04
245,IA-LM,Topotecan,0.11
246,IA-LM,LBW242,-0.9
247,IA-LM,PD-0325901,-0.9
248,IA-LM,PD-0332991,-0.9
249,IA-LM,Paclitaxel,-0.9
250,IA-LM,AZD6244,-0.9
251,IA-LM,PLX4720,-0.9
252,IA-LM,RAF265,-0.41
253,IA-LM,TAE684,-0.9
254,IA-LM,TKI258,-0.9
255,IA-LM,Erlotinib,-0.9
256,SU-DHL-6,AEW541,0.4
257,SU-DHL-6,Nilotinib,1
258,SU-DHL-6,17-AAG,0.48
259,SU-DHL-6,PHA-665752,-0.9
260,SU-DHL-6,Lapatinib,0.41
261,SU-DHL-6,Nutlin-3,-0.9
262,SU-DHL-6,AZD0530,0.29
263,SU-DHL-6,PF2341066,-0.01
264,SU-DHL-6,L-685458,0.93
265,SU-DHL-6,ZD-6474,0.49
266,SU-DHL-6,Panobinostat,2.07
267,SU-DHL-6,Sorafenib,-0.75
268,SU-DHL-6,Irinotecan,0.94
269,SU-DHL-6,Topotecan,0.94
270,SU-DHL-6,LBW242,-0.67
271,SU-DHL-6,PD-0325901,-0.9
272,SU-DHL-6,PD-0332991,-0.9
273,SU-DHL-6,Paclitaxel,2.59
274,SU-DHL-6,AZD6244,-0.9
275,SU-DHL-6,PLX4720,-0.9
276,SU-DHL-6,RAF265,-0.58
277,SU-DHL-6,TAE684,0.53
278,SU-DHL-6,TKI258,-0.62
279,SU-DHL-6,Erlotinib,-0.9
280,MOG-G-CCM,AEW541,-0.9
281,MOG-G-CCM,Nilotinib,-0.9
282,MOG-G-CCM,17-AAG,0.57
283,MOG-G-CCM,PHA-665752,-0.9
284,MOG-G-CCM,Lapatinib,-0.9
285,MOG-G-CCM,Nutlin-3,-0.9
286,MOG-G-CCM,AZD0530,-0.9
287,MOG-G-CCM,PF2341066,-0.9
288,MOG-G-CCM,L-685458,-0.9
289,MOG-G-CCM,ZD-6474,-0.9
290,MOG-G-CCM,Panobinostat,0.68
291,MOG-G-CCM,Sorafenib,-0.9
292,MOG-G-CCM,Topotecan,-0.9
293,MOG-G-CCM,LBW242,-0.9
294,MOG-G-CCM,PD-0325901,-0.9
295,MOG-G-CCM,PD-0332991,-0.9
296,MOG-G-CCM,Paclitaxel,1.62
297,MOG-G-CCM,AZD6244,-0.9
298,MOG-G-CCM,PLX4720,-0.9
299,MOG-G-CCM,RAF265,-0.9
300,MOG-G-CCM,TAE684,-0.9
301,MOG-G-CCM,TKI258,-0.9
302,MOG-G-CCM,Erlotinib,-0.9
303,HDQ-P1,AEW541,-0.85
304,HDQ-P1,Nilotinib,0.9
305,HDQ-P1,17-AAG,0.91
306,HDQ-P1,PHA-665752,-0.9
307,HDQ-P1,Lapatinib,-0.49
308,HDQ-P1,Nutlin-3,-0.9
309,HDQ-P1,AZD0530,0.04
310,HDQ-P1,PF2341066,-0.9
311,HDQ-P1,L-685458,-0.9
312,HDQ-P1,ZD-6474,-0.31
313,HDQ-P1,Panobinostat,1.37
314,HDQ-P1,Sorafenib,-0.9
315,HDQ-P1,Irinotecan,0.76
316,HDQ-P1,Topotecan,0.7
317,HDQ-P1,LBW242,-0.9
318,HDQ-P1,PD-0325901,-0.76
319,HDQ-P1,PD-0332991,-0.78
320,HDQ-P1,Paclitaxel,2.59
321,HDQ-P1,AZD6244,-0.9
322,HDQ-P1,PLX4720,-0.9
323,HDQ-P1,RAF265,-0.9
324,HDQ-P1,TAE684,0.22
325,HDQ-P1,TKI258,-0.9
326,HDQ-P1,Erlotinib,-0.9
327,HCT-15,AEW541,-0.67
328,HCT-15,Nilotinib,-0.81
329,HCT-15,17-AAG,0.23
330,HCT-15,PHA-665752,-0.9
331,HCT-15,Lapatinib,-0.67
332,HCT-15,Nutlin-3,-0.9
333,HCT-15,AZD0530,-0.72
334,HCT-15,PF2341066,-0.9
335,HCT-15,L-685458,-0.9
336,HCT-15,ZD-6474,-0.9
337,HCT-15,Panobinostat,0.65
338,HCT-15,Sorafenib,-0.86
339,HCT-15,Irinotecan,0.58
340,HCT-15,Topotecan,0.4
341,HCT-15,LBW242,-0.9
342,HCT-15,PD-0325901,-0.9
343,HCT-15,PD-0332991,-0.9
344,HCT-15,Paclitaxel,0.55
345,HCT-15,AZD6244,-0.9
346,HCT-15,PLX4720,-0.9
347,HCT-15,RAF265,0.22
348,HCT-15,TAE684,-0.73
349,HCT-15,TKI258,-0.63
350,HCT-15,Erlotinib,-0.9
351,BxPC-3,AEW541,-0.45
352,BxPC-3,17-AAG,0.73
353,BxPC-3,PHA-665752,-0.9
354,BxPC-3,Lapatinib,-0.66
355,BxPC-3,Nutlin-3,-0.9
356,BxPC-3,AZD0530,-0.44
357,BxPC-3,PF2341066,-0.9
358,BxPC-3,L-685458,-0.9
359,BxPC-3,ZD-6474,-0.9
360,BxPC-3,Panobinostat,0.96
361,BxPC-3,Sorafenib,-0.9
362,BxPC-3,Topotecan,0.43
363,BxPC-3,LBW242,-0.9
364,BxPC-3,PD-0325901,0.6
365,BxPC-3,Paclitaxel,1.99
366,BxPC-3,AZD6244,-0.9
367,BxPC-3,PLX4720,-0.48
368,BxPC-3,TAE684,-0.72
369,BxPC-3,TKI258,-0.84
370,BxPC-3,Erlotinib,-0.9
371,P12-ICHIKAWA,AEW541,-0.9
372,P12-ICHIKAWA,Nilotinib,-0.9
373,P12-ICHIKAWA,17-AAG,0.23
374,P12-ICHIKAWA,PHA-665752,-0.9
375,P12-ICHIKAWA,Lapatinib,-0.84
376,P12-ICHIKAWA,Nutlin-3,-0.9
377,P12-ICHIKAWA,AZD0530,-0.9
378,P12-ICHIKAWA,PF2341066,-0.79
379,P12-ICHIKAWA,L-685458,-0.55
380,P12-ICHIKAWA,ZD-6474,-0.9
381,P12-ICHIKAWA,Panobinostat,1.97
382,P12-ICHIKAWA,Sorafenib,-0.79
383,P12-ICHIKAWA,Irinotecan,1.68
384,P12-ICHIKAWA,Topotecan,1.53
385,P12-ICHIKAWA,LBW242,-0.9
386,P12-ICHIKAWA,PD-0325901,-0.9
387,P12-ICHIKAWA,PD-0332991,-0.32
388,P12-ICHIKAWA,Paclitaxel,2.48
389,P12-ICHIKAWA,AZD6244,-0.9
390,P12-ICHIKAWA,PLX4720,-0.9
391,P12-ICHIKAWA,RAF265,-0.12
392,P12-ICHIKAWA,TAE684,-0.25
393,P12-ICHIKAWA,TKI258,-0.46
394,P12-ICHIKAWA,Erlotinib,-0.9
395,JM1,AEW541,-0.9
396,JM1,Nilotinib,-0.89
397,JM1,17-AAG,-0.05
398,JM1,PHA-665752,-0.9
399,JM1,Lapatinib,-0.9
400,JM1,Nutlin-3,-0.9
401,JM1,AZD0530,-0.9
402,JM1,PF2341066,-0.9
403,JM1,L-685458,-0.9
404,JM1,ZD-6474,-0.9
405,JM1,Panobinostat,1.49
406,JM1,Sorafenib,-0.9
407,JM1,Topotecan,0.75
408,JM1,LBW242,-0.9
409,JM1,PD-0325901,-0.9
410,JM1,PD-0332991,-0.9
411,JM1,Paclitaxel,1.83
412,JM1,AZD6244,-0.9
413,JM1,PLX4720,-0.9
414,JM1,RAF265,-0.9
415,JM1,TAE684,-0.9
416,JM1,TKI258,-0.9
417,JM1,Erlotinib,-0.9
418,HGC-27,AEW541,-0.74
419,HGC-27,Nilotinib,-0.77
420,HGC-27,17-AAG,0.7
421,HGC-27,PHA-665752,-0.9
422,HGC-27,Lapatinib,-0.9
423,HGC-27,Nutlin-3,-0.9
424,HGC-27,AZD0530,-0.9
425,HGC-27,PF2341066,-0.52
426,HGC-27,L-685458,-0.82
427,HGC-27,ZD-6474,-0.68
428,HGC-27,Panobinostat,1.41
429,HGC-27,Sorafenib,-0.9
430,HGC-27,Irinotecan,-0.9
431,HGC-27,Topotecan,0.62
432,HGC-27,LBW242,-0.9
433,HGC-27,PD-0325901,-0.9
434,HGC-27,PD-0332991,-0.24
435,HGC-27,Paclitaxel,2.6
436,HGC-27,AZD6244,-0.9
437,HGC-27,PLX4720,-0.9
438,HGC-27,RAF265,-0.36
439,HGC-27,TAE684,-0.05
440,HGC-27,TKI258,-0.37
441,HGC-27,Erlotinib,-0.9
442,NCI-H1693,AEW541,-0.9
443,NCI-H1693,Nilotinib,-0.9
444,NCI-H1693,17-AAG,-0.9
445,NCI-H1693,PHA-665752,-0.9
446,NCI-H1693,Lapatinib,-0.9
447,NCI-H1693,Nutlin-3,-0.9
448,NCI-H1693,AZD0530,-0.9
449,NCI-H1693,PF2341066,-0.9
450,NCI-H1693,L-685458,-0.9
451,NCI-H1693,ZD-6474,-0.44
452,NCI-H1693,Panobinostat,1.23
453,NCI-H1693,Sorafenib,-0.9
454,NCI-H1693,Irinotecan,0.5
455,NCI-H1693,Topotecan,0.47
456,NCI-H1693,LBW242,-0.9
457,NCI-H1693,PD-0325901,-0.9
458,NCI-H1693,PD-0332991,-0.9
459,NCI-H1693,Paclitaxel,1.3
460,NCI-H1693,AZD6244,-0.9
461,NCI-H1693,PLX4720,-0.9
462,NCI-H1693,RAF265,-0.79
463,NCI-H1693,TAE684,-0.77
464,NCI-H1693,TKI258,-0.9
465,NCI-H1693,Erlotinib,-0.9
466,Raji,AEW541,-0.9
467,Raji,Nilotinib,-0.9
468,Raji,17-AAG,-0.43
469,Raji,PHA-665752,-0.9
470,Raji,Lapatinib,-0.9
471,Raji,Nutlin-3,-0.9
472,Raji,AZD0530,-0.9
473,Raji,PF2341066,-0.9
474,Raji,L-685458,-0.9
475,Raji,ZD-6474,-0.9
476,Raji,Panobinostat,1.2
477,Raji,Sorafenib,-0.9
478,Raji,Topotecan,0.77
479,Raji,LBW242,-0.9
480,Raji,PD-0325901,-0.9
481,Raji,PD-0332991,-0.9
482,Raji,Paclitaxel,1.97
483,Raji,AZD6244,-0.9
484,Raji,PLX4720,-0.9
485,Raji,RAF265,-0.9
486,Raji,TAE684,-0.9
487,Raji,TKI258,-0.9
488,Raji,Erlotinib,-0.9
489,NCI-N87,AEW541,-0.9
490,NCI-N87,Nilotinib,-0.57
491,NCI-N87,17-AAG,2.2
492,NCI-N87,PHA-665752,-0.9
493,NCI-N87,Lapatinib,1.18
494,NCI-N87,Nutlin-3,-0.9
495,NCI-N87,AZD0530,0.83
496,NCI-N87,PF2341066,-0.9
497,NCI-N87,L-685458,-0.77
498,NCI-N87,ZD-6474,-0.9
499,NCI-N87,Panobinostat,1.33
500,NCI-N87,Sorafenib,-0.9
501,NCI-N87,Topotecan,0.46
502,NCI-N87,LBW242,-0.9
503,NCI-N87,PD-0325901,-0.71
504,NCI-N87,PD-0332991,-0.9
505,NCI-N87,Paclitaxel,2.1
506,NCI-N87,AZD6244,-0.9
507,NCI-N87,PLX4720,-0.9
508,NCI-N87,RAF265,-0.58
509,NCI-N87,TAE684,-0.59
510,NCI-N87,TKI258,-0.8
511,NCI-N87,Erlotinib,-0.5
512,SJRH30,AEW541,-0.3
513,SJRH30,Nilotinib,-0.9
514,SJRH30,17-AAG,0.13
515,SJRH30,PHA-665752,-0.9
516,SJRH30,Lapatinib,-0.9
517,SJRH30,Nutlin-3,-0.9
518,SJRH30,AZD0530,-0.9
519,SJRH30,PF2341066,-0.53
520,SJRH30,L-685458,-0.9
521,SJRH30,ZD-6474,-0.9
522,SJRH30,Panobinostat,1.59
523,SJRH30,Sorafenib,-0.9
524,SJRH30,Topotecan,0.88
525,SJRH30,LBW242,-0.9
526,SJRH30,PD-0325901,-0.9
527,SJRH30,PD-0332991,-0.9
528,SJRH30,Paclitaxel,2.12
529,SJRH30,AZD6244,-0.9
530,SJRH30,PLX4720,-0.9
531,SJRH30,RAF265,-0.48
532,SJRH30,TAE684,-0.05
533,SJRH30,TKI258,-0.9
534,SJRH30,Erlotinib,-0.9
535,NCI-H23,AEW541,-0.65
536,NCI-H23,Nilotinib,-0.87
537,NCI-H23,17-AAG,1.33
538,NCI-H23,PHA-665752,-0.9
539,NCI-H23,Lapatinib,-0.9
540,NCI-H23,Nutlin-3,-0.9
541,NCI-H23,AZD0530,-0.9
542,NCI-H23,PF2341066,-0.9
543,NCI-H23,L-685458,-0.86
544,NCI-H23,ZD-6474,-0.9
545,NCI-H23,Panobinostat,1.18
546,NCI-H23,Sorafenib,-0.9
547,NCI-H23,Topotecan,0.13
548,NCI-H23,LBW242,-0.9
549,NCI-H23,PD-0325901,-0.9
550,NCI-H23,PD-0332991,-0.9
551,NCI-H23,Paclitaxel,2.45
552,NCI-H23,AZD6244,-0.9
553,NCI-H23,PLX4720,0.67
554,NCI-H23,RAF265,-0.24
555,NCI-H23,TAE684,-0.16
556,NCI-H23,TKI258,-0.55
557,NCI-H23,Erlotinib,-0.9
558,MG-63,AEW541,-0.57
559,MG-63,Nilotinib,-0.9
560,MG-63,17-AAG,0.09
561,MG-63,PHA-665752,-0.9
562,MG-63,Lapatinib,-0.9
563,MG-63,Nutlin-3,-0.9
564,MG-63,AZD0530,-0.9
565,MG-63,PF2341066,-0.75
566,MG-63,L-685458,-0.9
567,MG-63,ZD-6474,-0.9
568,MG-63,Panobinostat,0.9
569,MG-63,Sorafenib,-0.9
570,MG-63,Irinotecan,0.68
571,MG-63,Topotecan,0.6
572,MG-63,LBW242,-0.9
573,MG-63,PD-0325901,-0.9
574,MG-63,PD-0332991,-0.9
575,MG-63,Paclitaxel,2.3
576,MG-63,AZD6244,-0.9
577,MG-63,PLX4720,-0.9
578,MG-63,RAF265,-0.9
579,MG-63,TAE684,-0.04
580,MG-63,TKI258,-0.76
581,MG-63,Erlotinib,-0.9
582,COR-L23,AEW541,-0.9
583,COR-L23,Nilotinib,-0.9
584,COR-L23,17-AAG,0.22
585,COR-L23,PHA-665752,-0.9
586,COR-L23,Lapatinib,-0.9
587,COR-L23,Nutlin-3,-0.9
588,COR-L23,AZD0530,-0.9
589,COR-L23,PF2341066,-0.9
590,COR-L23,L-685458,-0.9
591,COR-L23,ZD-6474,-0.9
592,COR-L23,Panobinostat,0.91
593,COR-L23,Sorafenib,-0.67
594,COR-L23,Irinotecan,0.31
595,COR-L23,Topotecan,-0.01
596,COR-L23,LBW242,-0.9
597,COR-L23,PD-0325901,-0.9
598,COR-L23,PD-0332991,-0.9
599,COR-L23,Paclitaxel,1.5
600,COR-L23,AZD6244,-0.9
601,COR-L23,PLX4720,-0.9
602,COR-L23,RAF265,-0.81
603,COR-L23,TAE684,-0.88
604,COR-L23,TKI258,-0.9
605,COR-L23,Erlotinib,-0.9
606,TE-15,AEW541,-0.41
607,TE-15,17-AAG,0.99
608,TE-15,PHA-665752,-0.9
609,TE-15,Lapatinib,-0.11
610,TE-15,Nutlin-3,-0.9
611,TE-15,AZD0530,-0.28
612,TE-15,PF2341066,-0.9
613,TE-15,L-685458,-0.41
614,TE-15,ZD-6474,0.04
615,TE-15,Panobinostat,1.4
616,TE-15,Sorafenib,-0.9
617,TE-15,Topotecan,0.47
618,TE-15,LBW242,0.7
619,TE-15,PD-0325901,0.89
620,TE-15,Paclitaxel,2.26
621,TE-15,AZD6244,0.02
622,TE-15,PLX4720,-0.9
623,TE-15,TAE684,-0.9
624,TE-15,TKI258,-0.2
625,TE-15,Erlotinib,0.06
626,MCF7,AEW541,0.15
627,MCF7,Nilotinib,-0.9
628,MCF7,17-AAG,1.73
629,MCF7,PHA-665752,-0.9
630,MCF7,Lapatinib,-0.45
631,MCF7,Nutlin-3,-0.9
632,MCF7,AZD0530,-0.9
633,MCF7,PF2341066,0.91
634,MCF7,L-685458,-0.9
635,MCF7,ZD-6474,-0.9
636,MCF7,Sorafenib,-0.9
637,MCF7,Irinotecan,0.4
638,MCF7,Topotecan,0.15
639,MCF7,LBW242,-0.9
640,MCF7,PD-0325901,-0.9
641,MCF7,PD-0332991,-0.9
642,MCF7,Paclitaxel,2.6
643,MCF7,AZD6244,-0.9
644,MCF7,PLX4720,-0.9
645,MCF7,RAF265,-0.4
646,MCF7,TAE684,0.49
647,MCF7,TKI258,-0.81
648,MCF7,Erlotinib,-0.9
649,KMS-12-BM,AEW541,-0.74
650,KMS-12-BM,Nilotinib,-0.9
651,KMS-12-BM,17-AAG,0.9
652,KMS-12-BM,PHA-665752,-0.9
653,KMS-12-BM,Lapatinib,-0.9
654,KMS-12-BM,Nutlin-3,-0.9
655,KMS-12-BM,AZD0530,-0.9
656,KMS-12-BM,PF2341066,-0.9
657,KMS-12-BM,L-685458,-0.9
658,KMS-12-BM,ZD-6474,-0.9
659,KMS-12-BM,Panobinostat,2.41
660,KMS-12-BM,Sorafenib,-0.9
661,KMS-12-BM,Topotecan,0.57
662,KMS-12-BM,LBW242,-0.9
663,KMS-12-BM,PD-0325901,-0.9
664,KMS-12-BM,PD-0332991,-0.9
665,KMS-12-BM,Paclitaxel,2.58
666,KMS-12-BM,AZD6244,-0.9
667,KMS-12-BM,PLX4720,-0.9
668,KMS-12-BM,RAF265,0.31
669,KMS-12-BM,TAE684,-0.26
670,KMS-12-BM,TKI258,-0.9
671,KMS-12-BM,Erlotinib,-0.9
672,LP-1,AEW541,0.61
673,LP-1,Nilotinib,-0.61
674,LP-1,17-AAG,0.21
675,LP-1,PHA-665752,-0.9
676,LP-1,Lapatinib,-0.25
677,LP-1,Nutlin-3,-0.9
678,LP-1,AZD0530,-0.9
679,LP-1,PF2341066,0.38
680,LP-1,L-685458,-0.17
681,LP-1,ZD-6474,-0.9
682,LP-1,Panobinostat,1.82
683,LP-1,Sorafenib,0.11
684,LP-1,Irinotecan,0
685,LP-1,Topotecan,0.03
686,LP-1,LBW242,-0.9
687,LP-1,PD-0325901,-0.9
688,LP-1,PD-0332991,-0.9
689,LP-1,Paclitaxel,-0.9
690,LP-1,AZD6244,-0.9
691,LP-1,PLX4720,-0.9
692,LP-1,RAF265,-0.9
693,LP-1,TAE684,-0.17
694,LP-1,TKI258,-0.9
695,LP-1,Erlotinib,-0.9
696,FU97,AEW541,-0.6
697,FU97,17-AAG,1.2
698,FU97,PHA-665752,-0.9
699,FU97,Lapatinib,-0.9
