ID,Primary Cell Line Name,Compound,IC50 (uM)
114,NCI-H28,TAE684,-0.38
115,NCI-H28,TKI258,-0.9
116,NCI-H28,Erlotinib,-0.08
117,IMR-32,AEW541,-0.43
118,IMR-32,Nilotinib,-0.9
119,IMR-32,17-AAG,-0.24
120,IMR-32,PHA-665752,-0.9
121,IMR-32,Lapatinib,-0.9
122,IMR-32,Nutlin-3,-0.46
123,IMR-32,AZD0530,-0.42
124,IMR-32,PF2341066,-0.45
125,IMR-32,L-685458,-0.9
126,IMR-32,ZD-6474,-0.9
127,IMR-32,Panobinostat,1.47
128,IMR-32,Sorafenib,-0.9
129,IMR-32,Topotecan,1.53
130,IMR-32,LBW242,-0.9
131,IMR-32,PD-0325901,-0.9
132,IMR-32,PD-0332991,-0.9
133,IMR-32,Paclitaxel,2.59
134,IMR-32,AZD6244,-0.9
135,IMR-32,PLX4720,-0.75
136,IMR-32,RAF265,-0.23
137,IMR-32,TAE684,-0.02
138,IMR-32,TKI258,-0.43
139,IMR-32,Erlotinib,-0.9
140,8-MG-BA,AEW541,-0.59
141,8-MG-BA,17-AAG,0.63
142,8-MG-BA,PHA-665752,-0.9
143,8-MG-BA,Lapatinib,-0.72
144,8-MG-BA,Nutlin-3,-0.9
145,8-MG-BA,AZD0530,-0.65
146,8-MG-BA,PF2341066,-0.9
147,8-MG-BA,L-685458,-0.9
148,8-MG-BA,ZD-6474,-0.35
149,8-MG-BA,Panobinostat,0.95
150,8-MG-BA,Sorafenib,-0.9
151,8-MG-BA,Topotecan,0.5
152,8-MG-BA,LBW242,1.38
153,8-MG-BA,PD-0325901,-0.9
154,8-MG-BA,Paclitaxel,2.6
155,8-MG-BA,AZD6244,-0.9
156,8-MG-BA,PLX4720,-0.9
157,8-MG-BA,TAE684,-0.38
158,8-MG-BA,TKI258,0.27
159,8-MG-BA,Erlotinib,-0.89
160,Ishikawa (Heraklio) 02 ER-,AEW541,-0.9
161,Ishikawa (Heraklio) 02 ER-,17-AAG,1.01
162,Ishikawa (Heraklio) 02 ER-,PHA-665752,-0.9
163,Ishikawa (Heraklio) 02 ER-,Lapatinib,-0.9
164,Ishikawa (Heraklio) 02 ER-,Nutlin-3,-0.9
165,Ishikawa (Heraklio) 02 ER-,AZD0530,-0.9
166,Ishikawa (Heraklio) 02 ER-,PF2341066,-0.9
167,Ishikawa (Heraklio) 02 ER-,L-685458,-0.9
168,Ishikawa (Heraklio) 02 ER-,ZD-6474,-0.45
169,Ishikawa (Heraklio) 02 ER-,Panobinostat,1.67
170,Ishikawa (Heraklio) 02 ER-,Sorafenib,-0.9
171,Ishikawa (Heraklio) 02 ER-,Topotecan,0.28
172,Ishikawa (Heraklio) 02 ER-,LBW242,-0.9
173,Ishikawa (Heraklio) 02 ER-,PD-0325901,-0.9
174,Ishikawa (Heraklio) 02 ER-,Paclitaxel,2.45
175,Ishikawa (Heraklio) 02 ER-,AZD6244,-0.9
176,Ishikawa (Heraklio) 02 ER-,PLX4720,-0.9
177,Ishikawa (Heraklio) 02 ER-,TAE684,0.48
178,Ishikawa (Heraklio) 02 ER-,TKI258,0.04
179,Ishikawa (Heraklio) 02 ER-,Erlotinib,-0.9
180,VMRC-RCZ,AEW541,-0.89
181,VMRC-RCZ,Nilotinib,-0.9
182,VMRC-RCZ,17-AAG,0.07
183,VMRC-RCZ,PHA-665752,-0.9
184,VMRC-RCZ,Lapatinib,-0.9
185,VMRC-RCZ,Nutlin-3,-0.9
186,VMRC-RCZ,AZD0530,-0.9
187,VMRC-RCZ,PF2341066,-0.9
188,VMRC-RCZ,L-685458,-0.9
189,VMRC-RCZ,ZD-6474,-0.81
190,VMRC-RCZ,Panobinostat,1.18
191,VMRC-RCZ,Sorafenib,-0.9
192,VMRC-RCZ,Irinotecan,-0.08
193,VMRC-RCZ,Topotecan,-0.26
194,VMRC-RCZ,LBW242,-0.9
195,VMRC-RCZ,PD-0325901,-0.9
196,VMRC-RCZ,PD-0332991,-0.9
197,VMRC-RCZ,Paclitaxel,1.06
198,VMRC-RCZ,AZD6244,-0.9
199,VMRC-RCZ,PLX4720,-0.9
200,VMRC-RCZ,RAF265,-0.71
201,VMRC-RCZ,TAE684,-0.47
202,VMRC-RCZ,TKI258,-0.85
203,VMRC-RCZ,Erlotinib,-0.9
204,UM-UC-3,AEW541,-0.9
205,UM-UC-3,Nilotinib,-0.9
206,UM-UC-3,17-AAG,0.53
207,UM-UC-3,PHA-665752,-0.9
208,UM-UC-3,Lapatinib,-0.9
209,UM-UC-3,Nutlin-3,-0.9
210,UM-UC-3,AZD0530,-0.64
211,UM-UC-3,PF2341066,-0.9
212,UM-UC-3,L-685458,-0.9
213,UM-UC-3,ZD-6474,-0.75
214,UM-UC-3,Panobinostat,0.88
215,UM-UC-3,Sorafenib,-0.9
216,UM-UC-3,Irinotecan,0.2
217,UM-UC-3,Topotecan,0.16
218,UM-UC-3,LBW242,-0.9
219,UM-UC-3,PD-0325901,-0.9
220,UM-UC-3,PD-0332991,-0.9
221,UM-UC-3,Paclitaxel,2.08
222,UM-UC-3,AZD6244,-0.9
223,UM-UC-3,PLX4720,-0.9
224,UM-UC-3,RAF265,-0.9
225,UM-UC-3,TAE684,-0.9
226,UM-UC-3,TKI258,-0.9
227,UM-UC-3,Erlotinib,-0.9
228,OVTOKO,AEW541,-0.9
229,OVTOKO,Nilotinib,-0.9
230,OVTOKO,17-AAG,0.09
231,OVTOKO,PHA-665752,-0.9
232,OVTOKO,Lapatinib,-0.9
233,OVTOKO,Nutlin-3,-0.9
234,OVTOKO,AZD0530,-0.15
235,OVTOKO,PF2341066,-0.9
236,OVTOKO,L-685458,-0.9
237,OVTOKO,Panobinostat,0.83
238,OVTOKO,Sorafenib,-0.9
239,OVTOKO,Irinotecan,0.55
240,OVTOKO,Topotecan,0.57
241,OVTOKO,LBW242,-0.9
242,OVTOKO,PD-0325901,-0.9
243,OVTOKO,PD-0332991,-0.9
244,OVTOKO,Paclitaxel,-0.9
245,OVTOKO,AZD6244,-0.9
246,OVTOKO,RAF265,-0.32
247,OVTOKO,TAE684,-0.89
248,OVTOKO,TKI258,-0.9
249,OVTOKO,Erlotinib,-0.9
250,KYSE-180,AEW541,-0.56
251,KYSE-180,17-AAG,1.12
252,KYSE-180,PHA-665752,-0.9
253,KYSE-180,Lapatinib,0.06
254,KYSE-180,Nutlin-3,-0.9
255,KYSE-180,AZD0530,-0.47
256,KYSE-180,PF2341066,-0.9
257,KYSE-180,ZD-6474,-0.66
258,KYSE-180,Panobinostat,0.99
259,KYSE-180,Sorafenib,-0.9
260,KYSE-180,Topotecan,0.36
261,KYSE-180,LBW242,-0.9
262,KYSE-180,PD-0325901,-0.9
263,KYSE-180,Paclitaxel,2.1
264,KYSE-180,AZD6244,-0.9
265,KYSE-180,PLX4720,-0.9
266,KYSE-180,TAE684,-0.41
267,KYSE-180,TKI258,-0.71
268,KYSE-180,Erlotinib,-0.21
269,JMSU-1,AEW541,-0.4
270,JMSU-1,Nilotinib,-0.7
271,JMSU-1,17-AAG,1.35
272,JMSU-1,PHA-665752,-0.9
273,JMSU-1,Lapatinib,-0.9
274,JMSU-1,Nutlin-3,-0.9
275,JMSU-1,AZD0530,-0.9
276,JMSU-1,PF2341066,-0.78
277,JMSU-1,L-685458,-0.69
278,JMSU-1,ZD-6474,-0.35
279,JMSU-1,Panobinostat,1.25
280,JMSU-1,Sorafenib,-0.59
281,JMSU-1,Irinotecan,0.8
282,JMSU-1,Topotecan,0.96
283,JMSU-1,LBW242,-0.9
284,JMSU-1,PD-0325901,-0.15
285,JMSU-1,PD-0332991,-0.9
286,JMSU-1,Paclitaxel,1.94
287,JMSU-1,AZD6244,-0.71
288,JMSU-1,PLX4720,-0.7
289,JMSU-1,RAF265,0.68
290,JMSU-1,TAE684,0.33
291,JMSU-1,TKI258,0.45
292,JMSU-1,Erlotinib,-0.48
293,HCC-44,AEW541,-0.82
294,HCC-44,17-AAG,1.18
295,HCC-44,PHA-665752,-0.9
296,HCC-44,Lapatinib,-0.9
297,HCC-44,Nutlin-3,-0.9
298,HCC-44,AZD0530,-0.9
299,HCC-44,PF2341066,-0.9
300,HCC-44,L-685458,-0.9
301,HCC-44,ZD-6474,-0.9
302,HCC-44,Panobinostat,1.16
303,HCC-44,Sorafenib,-0.9
304,HCC-44,Topotecan,-0.1
305,HCC-44,LBW242,-0.17
306,HCC-44,PD-0325901,-0.53
307,HCC-44,Paclitaxel,1.94
308,HCC-44,AZD6244,-0.9
309,HCC-44,PLX4720,-0.9
310,HCC-44,RAF265,-0.5
311,HCC-44,TAE684,-0.78
312,HCC-44,TKI258,-0.9
313,HCC-44,Erlotinib,-0.9
314,PSN1,AEW541,-0.9
315,PSN1,17-AAG,0.82
316,PSN1,PHA-665752,-0.9
317,PSN1,Lapatinib,-0.9
318,PSN1,Nutlin-3,-0.9
319,PSN1,AZD0530,-0.9
320,PSN1,PF2341066,-0.9
321,PSN1,L-685458,-0.9
322,PSN1,ZD-6474,-0.9
323,PSN1,Panobinostat,1.05
324,PSN1,Sorafenib,-0.9
325,PSN1,Topotecan,0.29
326,PSN1,LBW242,-0.9
327,PSN1,PD-0325901,0.61
328,PSN1,Paclitaxel,1.76
329,PSN1,AZD6244,0.1
330,PSN1,PLX4720,-0.9
331,PSN1,TAE684,-0.86
332,PSN1,TKI258,-0.9
333,PSN1,Erlotinib,-0.9
334,SCC-9,AEW541,-0.59
335,SCC-9,17-AAG,1.34
336,SCC-9,PHA-665752,-0.9
337,SCC-9,Lapatinib,-0.63
338,SCC-9,Nutlin-3,-0.9
339,SCC-9,AZD0530,-0.9
340,SCC-9,PF2341066,-0.9
341,SCC-9,L-685458,-0.9
342,SCC-9,ZD-6474,0.08
343,SCC-9,Panobinostat,1.71
344,SCC-9,Sorafenib,-0.9
345,SCC-9,Topotecan,-0.22
346,SCC-9,LBW242,-0.78
347,SCC-9,PD-0325901,0.31
348,SCC-9,Paclitaxel,2.23
349,SCC-9,AZD6244,-0.76
350,SCC-9,PLX4720,-0.9
351,SCC-9,RAF265,-0.38
352,SCC-9,TAE684,-0.9
353,SCC-9,TKI258,-0.88
354,SCC-9,Erlotinib,-0.17
355,SUIT-2,AEW541,-0.9
356,SUIT-2,Nilotinib,-0.9
357,SUIT-2,17-AAG,0.19
358,SUIT-2,PHA-665752,-0.87
359,SUIT-2,Lapatinib,-0.9
360,SUIT-2,Nutlin-3,-0.9
361,SUIT-2,AZD0530,-0.7
362,SUIT-2,PF2341066,-0.9
363,SUIT-2,L-685458,-0.9
364,SUIT-2,ZD-6474,-0.58
365,SUIT-2,Panobinostat,0.8
366,SUIT-2,Sorafenib,-0.86
367,SUIT-2,Irinotecan,0.91
368,SUIT-2,Topotecan,1.26
369,SUIT-2,LBW242,-0.9
370,SUIT-2,PD-0325901,0.77
371,SUIT-2,PD-0332991,-0.9
372,SUIT-2,Paclitaxel,0.53
373,SUIT-2,AZD6244,0.26
374,SUIT-2,PLX4720,-0.9
375,SUIT-2,RAF265,-0.24
376,SUIT-2,TAE684,-0.65
377,SUIT-2,TKI258,-0.68
378,SUIT-2,Erlotinib,-0.9
379,SNU-1,AEW541,-0.78
380,SNU-1,Nilotinib,-0.9
381,SNU-1,17-AAG,1.33
382,SNU-1,PHA-665752,-0.9
383,SNU-1,Lapatinib,-0.9
384,SNU-1,Nutlin-3,-0.57
385,SNU-1,AZD0530,-0.9
386,SNU-1,PF2341066,-0.64
387,SNU-1,L-685458,-0.9
388,SNU-1,ZD-6474,-0.9
389,SNU-1,Panobinostat,1.12
390,SNU-1,Sorafenib,-0.58
391,SNU-1,Topotecan,0.82
392,SNU-1,LBW242,-0.9
393,SNU-1,PD-0325901,1.12
394,SNU-1,PD-0332991,-0.76
395,SNU-1,Paclitaxel,2.23
396,SNU-1,AZD6244,-0.32
397,SNU-1,PLX4720,-0.9
398,SNU-1,RAF265,-0.21
399,SNU-1,TAE684,-0.41
400,SNU-1,TKI258,-0.71
401,SNU-1,Erlotinib,-0.9
402,KP-N-SI9s,AEW541,-0.01
403,KP-N-SI9s,Nilotinib,-0.73
404,KP-N-SI9s,17-AAG,1.08
405,KP-N-SI9s,PHA-665752,-0.9
406,KP-N-SI9s,Lapatinib,-0.9
407,KP-N-SI9s,Nutlin-3,-0.63
408,KP-N-SI9s,AZD0530,-0.78
409,KP-N-SI9s,PF2341066,-0.41
410,KP-N-SI9s,L-685458,-0.9
411,KP-N-SI9s,ZD-6474,-0.9
412,KP-N-SI9s,Panobinostat,1.52
413,KP-N-SI9s,Sorafenib,-0.75
414,KP-N-SI9s,Irinotecan,1.54
415,KP-N-SI9s,Topotecan,1.62
416,KP-N-SI9s,LBW242,-0.9
417,KP-N-SI9s,PD-0325901,1.01
418,KP-N-SI9s,PD-0332991,-0.12
419,KP-N-SI9s,Paclitaxel,2.36
420,KP-N-SI9s,AZD6244,0.56
421,KP-N-SI9s,PLX4720,-0.9
422,KP-N-SI9s,RAF265,-0.28
423,KP-N-SI9s,TAE684,0.05
424,KP-N-SI9s,TKI258,-0.7
425,KP-N-SI9s,Erlotinib,-0.9
426,HUP-T4,AEW541,-0.14
427,HUP-T4,Nilotinib,-0.71
428,HUP-T4,17-AAG,1.98
429,HUP-T4,PHA-665752,-0.9
430,HUP-T4,Lapatinib,-0.85
431,HUP-T4,Nutlin-3,-0.9
432,HUP-T4,AZD0530,-0.06
433,HUP-T4,PF2341066,-0.62
434,HUP-T4,L-685458,-0.9
435,HUP-T4,ZD-6474,0.17
436,HUP-T4,Panobinostat,1.59
437,HUP-T4,Sorafenib,-0.9
438,HUP-T4,Topotecan,0.98
439,HUP-T4,LBW242,-0.9
440,HUP-T4,PD-0325901,1.18
441,HUP-T4,PD-0332991,-0.9
442,HUP-T4,Paclitaxel,2.6
443,HUP-T4,AZD6244,0.45
444,HUP-T4,PLX4720,-0.9
445,HUP-T4,RAF265,-0.29
446,HUP-T4,TAE684,0.28
447,HUP-T4,TKI258,-0.9
448,HUP-T4,Erlotinib,-0.63
449,PC-3,AEW541,-0.9
450,PC-3,Nilotinib,-0.9
451,PC-3,17-AAG,0.41
452,PC-3,PHA-665752,-0.9
453,PC-3,Lapatinib,-0.9
454,PC-3,Nutlin-3,-0.9
455,PC-3,AZD0530,-0.57
456,PC-3,PF2341066,-0.9
457,PC-3,L-685458,-0.9
458,PC-3,ZD-6474,-0.7
459,PC-3,Panobinostat,1.08
460,PC-3,Sorafenib,-0.9
461,PC-3,Irinotecan,0.41
462,PC-3,Topotecan,-0.05
463,PC-3,LBW242,-0.9
464,PC-3,PD-0325901,-0.9
465,PC-3,PD-0332991,-0.9
466,PC-3,Paclitaxel,1.75
467,PC-3,AZD6244,-0.9
468,PC-3,PLX4720,-0.9
469,PC-3,RAF265,-0.9
470,PC-3,TAE684,-0.81
471,PC-3,TKI258,-0.9
472,PC-3,Erlotinib,-0.9
473,EFM-19,AEW541,-0.9
474,EFM-19,Nilotinib,-0.9
475,EFM-19,17-AAG,1.24
476,EFM-19,PHA-665752,-0.87
477,EFM-19,Lapatinib,-0.9
478,EFM-19,Nutlin-3,-0.9
479,EFM-19,AZD0530,-0.73
480,EFM-19,PF2341066,-0.88
481,EFM-19,L-685458,-0.9
482,EFM-19,ZD-6474,-0.64
483,EFM-19,Panobinostat,1.55
484,EFM-19,Sorafenib,-0.9
485,EFM-19,Irinotecan,0.04
486,EFM-19,Topotecan,-0.11
487,EFM-19,LBW242,0.48
488,EFM-19,PD-0325901,-0.9
489,EFM-19,PD-0332991,-0.9
490,EFM-19,Paclitaxel,2.04
491,EFM-19,AZD6244,-0.9
492,EFM-19,PLX4720,-0.9
493,EFM-19,RAF265,-0.34
494,EFM-19,TAE684,-0.9
495,EFM-19,TKI258,-0.9
496,EFM-19,Erlotinib,-0.9
497,CAL-12T,AEW541,0.1
498,CAL-12T,17-AAG,0.74
499,CAL-12T,PHA-665752,-0.9
500,CAL-12T,Lapatinib,-0.29
501,CAL-12T,Nutlin-3,-0.9
502,CAL-12T,AZD0530,-0.23
503,CAL-12T,PF2341066,-0.55
504,CAL-12T,ZD-6474,0.16
505,CAL-12T,Panobinostat,1.29
506,CAL-12T,Sorafenib,-0.89
507,CAL-12T,Topotecan,-0.25
508,CAL-12T,LBW242,-0.9
509,CAL-12T,PD-0325901,0.51
510,CAL-12T,Paclitaxel,2.22
511,CAL-12T,AZD6244,-0.52
512,CAL-12T,PLX4720,-0.77
513,CAL-12T,TAE684,0.16
514,CAL-12T,TKI258,-0.07
515,CAL-12T,Erlotinib,0.23
516,A2058,AEW541,-0.74
517,A2058,Nilotinib,-0.9
518,A2058,17-AAG,1.37
519,A2058,PHA-665752,-0.9
520,A2058,Lapatinib,-0.9
521,A2058,Nutlin-3,-0.9
522,A2058,AZD0530,-0.9
523,A2058,PF2341066,-0.9
524,A2058,L-685458,-0.9
525,A2058,ZD-6474,-0.9
526,A2058,Panobinostat,1.16
527,A2058,Sorafenib,-0.9
528,A2058,Irinotecan,0.84
529,A2058,Topotecan,0.51
530,A2058,LBW242,-0.9
531,A2058,PD-0325901,0.69
532,A2058,PD-0332991,-0.9
533,A2058,Paclitaxel,2.54
534,A2058,AZD6244,-0.7
535,A2058,PLX4720,-0.9
536,A2058,RAF265,-0.74
537,A2058,TAE684,-0.69
538,A2058,TKI258,-0.75
539,A2058,Erlotinib,-0.9
540,NCI-H1944,AEW541,-0.9
541,NCI-H1944,Nilotinib,-0.9
542,NCI-H1944,17-AAG,1.58
543,NCI-H1944,PHA-665752,-0.9
544,NCI-H1944,Lapatinib,-0.9
545,NCI-H1944,Nutlin-3,-0.9
546,NCI-H1944,AZD0530,-0.9
547,NCI-H1944,PF2341066,-0.9
548,NCI-H1944,L-685458,-0.9
549,NCI-H1944,ZD-6474,-0.9
550,NCI-H1944,Panobinostat,1.14
551,NCI-H1944,Sorafenib,-0.9
552,NCI-H1944,Topotecan,0.15
553,NCI-H1944,LBW242,-0.9
554,NCI-H1944,PD-0325901,0.38
555,NCI-H1944,PD-0332991,-0.65
556,NCI-H1944,Paclitaxel,1.94
557,NCI-H1944,AZD6244,-0.9
558,NCI-H1944,PLX4720,-0.9
559,NCI-H1944,RAF265,-0.9
560,NCI-H1944,TAE684,-0.9
561,NCI-H1944,TKI258,-0.9
562,NCI-H1944,Erlotinib,-0.9
563,MFE-280,AEW541,-0.9
564,MFE-280,Nilotinib,-0.9
565,MFE-280,17-AAG,0.68
566,MFE-280,PHA-665752,-0.9
567,MFE-280,Lapatinib,-0.9
568,MFE-280,Nutlin-3,-0.9
569,MFE-280,AZD0530,-0.9
570,MFE-280,PF2341066,-0.9
571,MFE-280,L-685458,-0.89
572,MFE-280,ZD-6474,-0.52
573,MFE-280,Panobinostat,1.34
574,MFE-280,Sorafenib,-0.9
575,MFE-280,Irinotecan,0.13
576,MFE-280,Topotecan,-0.35
577,MFE-280,LBW242,-0.9
578,MFE-280,PD-0325901,-0.9
579,MFE-280,PD-0332991,-0.9
580,MFE-280,Paclitaxel,1.58
581,MFE-280,AZD6244,-0.9
582,MFE-280,PLX4720,-0.9
583,MFE-280,RAF265,-0.14
584,MFE-280,TAE684,-0.23
585,MFE-280,TKI258,-0.9
586,MFE-280,Erlotinib,-0.9
587,HCC1569,AEW541,-0.9
588,HCC1569,Nilotinib,-0.9
589,HCC1569,17-AAG,0.7
590,HCC1569,PHA-665752,-0.9
591,HCC1569,Lapatinib,-0.9
592,HCC1569,Nutlin-3,-0.9
593,HCC1569,AZD0530,-0.9
594,HCC1569,PF2341066,-0.9
595,HCC1569,L-685458,-0.9
596,HCC1569,ZD-6474,-0.9
597,HCC1569,Panobinostat,0.6
598,HCC1569,Sorafenib,-0.9
599,HCC1569,Irinotecan,0.14
600,HCC1569,Topotecan,-0.67
601,HCC1569,LBW242,-0.9
602,HCC1569,PD-0325901,-0.9
603,HCC1569,PD-0332991,-0.9
604,HCC1569,Paclitaxel,-0.9
605,HCC1569,AZD6244,-0.9
606,HCC1569,PLX4720,-0.9
607,HCC1569,RAF265,-0.9
608,HCC1569,TAE684,-0.9
609,HCC1569,TKI258,-0.9
610,HCC1569,Erlotinib,-0.9
611,BDCM,AEW541,-0.7
612,BDCM,Nilotinib,-0.9
613,BDCM,17-AAG,0.69
614,BDCM,PHA-665752,-0.9
615,BDCM,Lapatinib,-0.9
616,BDCM,Nutlin-3,-0.9
617,BDCM,AZD0530,0.2
618,BDCM,PF2341066,-0.9
619,BDCM,L-685458,-0.9
620,BDCM,ZD-6474,0.01
621,BDCM,Panobinostat,1.08
622,BDCM,Sorafenib,-0.9
623,BDCM,Topotecan,1.05
624,BDCM,LBW242,-0.9
625,BDCM,PD-0325901,0.49
626,BDCM,PD-0332991,-0.28
627,BDCM,Paclitaxel,2.49
628,BDCM,AZD6244,0.33
629,BDCM,PLX4720,-0.9
630,BDCM,RAF265,-0.85
631,BDCM,TAE684,-0.9
632,BDCM,TKI258,-0.79
633,BDCM,Erlotinib,-0.9
634,KNS-81,AEW541,-0.78
635,KNS-81,Nilotinib,-0.9
636,KNS-81,17-AAG,0.59
637,KNS-81,PHA-665752,-0.9
638,KNS-81,Lapatinib,-0.9
639,KNS-81,Nutlin-3,-0.9
640,KNS-81,AZD0530,-0.9
641,KNS-81,PF2341066,-0.9
642,KNS-81,L-685458,0.15
643,KNS-81,ZD-6474,-0.9
644,KNS-81,Panobinostat,0.83
645,KNS-81,Sorafenib,-0.9
646,KNS-81,Irinotecan,0.66
647,KNS-81,Topotecan,0.33
648,KNS-81,LBW242,-0.9
649,KNS-81,PD-0325901,-0.9
650,KNS-81,PD-0332991,-0.9
651,KNS-81,Paclitaxel,1.47
652,KNS-81,AZD6244,-0.9
653,KNS-81,PLX4720,-0.9
654,KNS-81,RAF265,-0.43
655,KNS-81,TAE684,-0.42
656,KNS-81,TKI258,-0.9
657,KNS-81,Erlotinib,-0.9
658,NCI-H1341,AEW541,0.48
659,NCI-H1341,Nilotinib,-0.9
660,NCI-H1341,17-AAG,1.86
661,NCI-H1341,PHA-665752,-0.9
662,NCI-H1341,Lapatinib,-0.9
663,NCI-H1341,Nutlin-3,-0.9
664,NCI-H1341,AZD0530,-0.76
665,NCI-H1341,PF2341066,-0.08
666,NCI-H1341,L-685458,-0.9
667,NCI-H1341,ZD-6474,-0.9
668,NCI-H1341,Panobinostat,1.27
669,NCI-H1341,Sorafenib,-0.9
670,NCI-H1341,Irinotecan,0.71
671,NCI-H1341,Topotecan,1.18
672,NCI-H1341,LBW242,-0.9
673,NCI-H1341,PD-0325901,-0.9
674,NCI-H1341,PD-0332991,-0.9
675,NCI-H1341,Paclitaxel,2.59
676,NCI-H1341,AZD6244,-0.9
677,NCI-H1341,PLX4720,-0.9
678,NCI-H1341,RAF265,-0.36
679,NCI-H1341,TAE684,-0.15
680,NCI-H1341,TKI258,-0.45
681,NCI-H1341,Erlotinib,-0.9
682,T24,AEW541,-0.9
683,T24,Nilotinib,-0.9
684,T24,17-AAG,0.7
685,T24,PHA-665752,-0.9
686,T24,Lapatinib,-0.9
687,T24,Nutlin-3,-0.9
688,T24,AZD0530,-0.63
689,T24,PF2341066,-0.78
