Drug,Cell,Label,LN_IC50
Nilotinib,EBC1_LUNG,Resistance,2.079441542
Nilotinib,EFE184_ENDOMETRIUM,Resistance,2.079441542
Nilotinib,EFM19_BREAST,Resistance,2.079441542
Nilotinib,EFO21_OVARY,Resistance,2.079441542
Nilotinib,EFO27_OVARY,Resistance,2.079441542
Nilotinib,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,-4.887784853
Nilotinib,EN_ENDOMETRIUM,Resistance,2.079441542
Nilotinib,F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.832615948
Nilotinib,FADU_UPPER_AERODIGESTIVE_TRACT,Resistance,1.725083367
Nilotinib,FUOV1_OVARY,Resistance,2.079441542
Nilotinib,G361_SKIN,Resistance,2.079441542
Nilotinib,G401_SOFT_TISSUE,Resistance,2.079441542
Nilotinib,GB1_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,GCIY_STOMACH,Resistance,1.844552071
Nilotinib,GCT_SOFT_TISSUE,Resistance,2.079441542
Nilotinib,GMS10_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,-0.969673518
Nilotinib,H4_CENTRAL_NERVOUS_SYSTEM,Resistance,2.032134918
Nilotinib,HCC1187_BREAST,Resistance,2.079441542
Nilotinib,HCC15_LUNG,Resistance,2.079441542
Nilotinib,HCC1569_BREAST,Resistance,2.079441542
Nilotinib,HCC1806_BREAST,Resistance,2.017541215
Nilotinib,HCC1954_BREAST,Resistance,1.61128319
Nilotinib,HCC2935_LUNG,Resistance,2.079441542
Nilotinib,HCC4006_LUNG,Resistance,2.007433161
Nilotinib,HCC56_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,HCC70_BREAST,Resistance,2.079441542
Nilotinib,HCC78_LUNG,Resistance,2.079441542
Nilotinib,HCT116_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,HCT15_LARGE_INTESTINE,Resistance,1.87122012
Nilotinib,HDQP1_BREAST,Sensitivity,-2.072649047
Nilotinib,HEC151_ENDOMETRIUM,Resistance,1.992424659
Nilotinib,HEC1A_ENDOMETRIUM,Resistance,1.941408156
Nilotinib,HEC1B_ENDOMETRIUM,Resistance,1.467761553
Nilotinib,HEC251_ENDOMETRIUM,Resistance,2.079441542
Nilotinib,HEC265_ENDOMETRIUM,Resistance,2.079441542
Nilotinib,HEC59_ENDOMETRIUM,Resistance,2.079441542
Nilotinib,HEC6_ENDOMETRIUM,Resistance,0.712894685
Nilotinib,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,HEP3B217_LIVER,Resistance,1.422302465
Nilotinib,HEPG2_LIVER,Resistance,2.079441542
Nilotinib,HEYA8_OVARY,Resistance,2.079441542
Nilotinib,HGC27_STOMACH,Resistance,1.774870897
Nilotinib,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,HLE_LIVER,Resistance,2.079441542
Nilotinib,HLF_LIVER,Resistance,2.079441542
Nilotinib,HMC18_BREAST,Resistance,2.079441542
Nilotinib,HMCB_SKIN,Resistance,1.971471152
Nilotinib,HOS_BONE,Resistance,2.079441542
Nilotinib,HPAC_PANCREAS,Resistance,1.956201584
Nilotinib,HS229T_LUNG,Resistance,2.079441542
Nilotinib,HS294T_SKIN,Resistance,2.079441542
Nilotinib,HS578T_BREAST,Resistance,2.079441542
Nilotinib,HS683_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,HS695T_SKIN,Resistance,2.079441542
Nilotinib,HS739T_BREAST,Resistance,2.079441542
Nilotinib,HS746T_STOMACH,Resistance,1.794518692
Nilotinib,HS766T_PANCREAS,Resistance,2.079441542
Nilotinib,HS840T_UPPER_AERODIGESTIVE_TRACT,Resistance,2.079441542
Nilotinib,HS852T_SKIN,Resistance,1.98608025
Nilotinib,HS895T_SKIN,Resistance,1.551879167
Nilotinib,HS936T_SKIN,Resistance,2.079441542
Nilotinib,HS939T_SKIN,Resistance,1.957292216
Nilotinib,HS944T_SKIN,Resistance,2.079441542
Nilotinib,HSC2_UPPER_AERODIGESTIVE_TRACT,Resistance,2.079441542
Nilotinib,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,HT1197_URINARY_TRACT,Resistance,2.079441542
Nilotinib,HT1376_URINARY_TRACT,Resistance,2.079441542
Nilotinib,HT144_SKIN,Resistance,1.533291344
Nilotinib,HT29_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,HUCCT1_BILIARY_TRACT,Resistance,2.079441542
Nilotinib,HUH1_LIVER,Resistance,2.079441542
Nilotinib,HUPT3_PANCREAS,Resistance,2.079441542
Nilotinib,HUPT4_PANCREAS,Resistance,1.628334775
Nilotinib,HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,-0.851039397
Nilotinib,IALM_LUNG,Resistance,2.079441542
Nilotinib,IGR37_SKIN,Resistance,2.079441542
Nilotinib,IGR39_SKIN,Resistance,2.079441542
Nilotinib,IGROV1_OVARY,Resistance,2.079441542
Nilotinib,IM95_STOMACH,Resistance,2.079441542
Nilotinib,IMR32_AUTONOMIC_GANGLIA,Resistance,2.079441542
Nilotinib,IPC298_SKIN,Resistance,2.079441542
Nilotinib,ISTMES1_PLEURA,Sensitivity,-0.112936551
Nilotinib,ISTMES2_PLEURA,Resistance,1.271207907
Nilotinib,JHH2_LIVER,Resistance,2.079441542
Nilotinib,JHH4_LIVER,Resistance,2.079441542
Nilotinib,JHH6_LIVER,Resistance,2.079441542
Nilotinib,JHOS2_OVARY,Resistance,2.079441542
Nilotinib,JHOS4_OVARY,Resistance,1.45574505
Nilotinib,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.041259813
Nilotinib,JMSU1_URINARY_TRACT,Resistance,1.611759415
Nilotinib,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,0.830086785
Nilotinib,K029AX_SKIN,Resistance,2.079441542
Nilotinib,KALS1_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.010075331
Nilotinib,KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,-4.286954374
Nilotinib,KE39_STOMACH,Resistance,1.566902944
Nilotinib,KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,0.842356097
Nilotinib,KLE_ENDOMETRIUM,Resistance,2.079441542
Nilotinib,KMBC2_URINARY_TRACT,Resistance,2.079441542
Nilotinib,KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.070578758
Nilotinib,KMRC1_KIDNEY,Resistance,2.079441542
Nilotinib,KMRC2_KIDNEY,Resistance,2.079441542
Nilotinib,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.440183493
Nilotinib,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.791983955
Nilotinib,KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.252616024
Nilotinib,KNS42_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,KNS60_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,KNS81_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,KP2_PANCREAS,Resistance,2.079441542
Nilotinib,KP3_PANCREAS,Resistance,2.079441542
Nilotinib,KP4_PANCREAS,Resistance,2.079441542
Nilotinib,KPNSI9S_AUTONOMIC_GANGLIA,Resistance,1.688768074
Nilotinib,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,-4.085054291
Nilotinib,KURAMOCHI_OVARY,Resistance,2.079441542
Nilotinib,KYSE30_OESOPHAGUS,Resistance,2.079441542
Nilotinib,KYSE410_OESOPHAGUS,Resistance,1.634878949
Nilotinib,KYSE520_OESOPHAGUS,Resistance,1.872418354
Nilotinib,L33_PANCREAS,Resistance,2.079441542
Nilotinib,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.879500095
Nilotinib,LC1SQSF_LUNG,Resistance,2.079441542
Nilotinib,LCLC103H_LUNG,Resistance,2.079441542
Nilotinib,LN18_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,LN229_CENTRAL_NERVOUS_SYSTEM,Resistance,1.856488126
Nilotinib,LOUNH91_LUNG,Resistance,2.079441542
Nilotinib,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.393883087
Nilotinib,LS123_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,LS513_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,LU99_LUNG,Resistance,2.079441542
Nilotinib,LUDLU1_LUNG,Resistance,1.456159782
Nilotinib,MALME3M_SKIN,Resistance,1.484256484
Nilotinib,MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,MCAS_OVARY,Resistance,2.079441542
Nilotinib,MCF7_BREAST,Resistance,2.079441542
Nilotinib,MDAMB157_BREAST,Resistance,2.079441542
Nilotinib,MDAMB175VII_BREAST,Resistance,2.079441542
Nilotinib,MDAMB415_BREAST,Resistance,1.379949927
Nilotinib,MDAMB435S_SKIN,Resistance,1.859591247
Nilotinib,MDAMB436_BREAST,Resistance,2.079441542
Nilotinib,MDAMB453_BREAST,Resistance,2.079441542
Nilotinib,MDAMB468_BREAST,Resistance,1.463825387
Nilotinib,MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.793136104
Nilotinib,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,-2.669756807
Nilotinib,MELHO_SKIN,Resistance,1.98325368
Nilotinib,MESSA_SOFT_TISSUE,Resistance,2.079441542
Nilotinib,MEWO_SKIN,Resistance,2.079441542
Nilotinib,MFE280_ENDOMETRIUM,Resistance,2.079441542
Nilotinib,MG63_BONE,Resistance,2.079441542
Nilotinib,MHHES1_BONE,Resistance,0.930694271
Nilotinib,MIAPACA2_PANCREAS,Resistance,2.079441542
Nilotinib,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,MKN45_STOMACH,Resistance,2.079441542
Nilotinib,MKN7_STOMACH,Resistance,2.079441542
Nilotinib,MKN74_STOMACH,Resistance,2.079441542
Nilotinib,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,0.756623689
Nilotinib,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.357675334
Nilotinib,MPP89_PLEURA,Resistance,2.079441542
Nilotinib,MSTO211H_PLEURA,Resistance,1.781338281
Nilotinib,NCIH1048_LUNG,Resistance,2.079441542
Nilotinib,NCIH1092_LUNG,Resistance,2.079441542
Nilotinib,NCIH1184_LUNG,Resistance,2.079441542
Nilotinib,NCIH1339_LUNG,Resistance,2.052197377
Nilotinib,NCIH1341_LUNG,Resistance,2.079441542
Nilotinib,NCIH1355_LUNG,Resistance,2.079441542
Nilotinib,NCIH1373_LUNG,Resistance,2.079441542
Nilotinib,NCIH1563_LUNG,Resistance,2.079441542
Nilotinib,NCIH1568_LUNG,Resistance,2.079441542
Nilotinib,NCIH1573_LUNG,Resistance,2.079441542
Nilotinib,NCIH1581_LUNG,Resistance,2.079441542
Nilotinib,NCIH1648_LUNG,Resistance,1.721150756
Nilotinib,NCIH1650_LUNG,Resistance,2.079441542
Nilotinib,NCIH1651_LUNG,Resistance,2.079441542
Nilotinib,NCIH1666_LUNG,Resistance,2.042642373
Nilotinib,NCIH1693_LUNG,Resistance,2.079441542
Nilotinib,NCIH1694_LUNG,Resistance,2.079441542
Nilotinib,NCIH1792_LUNG,Resistance,2.079441542
Nilotinib,NCIH1793_LUNG,Resistance,2.079441542
Nilotinib,NCIH1869_LUNG,Resistance,2.079441542
Nilotinib,NCIH1915_LUNG,Resistance,2.079441542
Nilotinib,NCIH1944_LUNG,Resistance,2.079441542
Nilotinib,NCIH1975_LUNG,Resistance,2.079441542
Nilotinib,NCIH2009_LUNG,Resistance,2.079441542
Nilotinib,NCIH2023_LUNG,Resistance,1.389950494
Nilotinib,NCIH2030_LUNG,Resistance,2.079441542
Nilotinib,NCIH2052_PLEURA,Resistance,2.079441542
Nilotinib,NCIH2085_LUNG,Resistance,2.079441542
Nilotinib,NCIH2087_LUNG,Resistance,1.806516244
Nilotinib,NCIH211_LUNG,Resistance,1.799557302
Nilotinib,NCIH2122_LUNG,Resistance,2.061230159
Nilotinib,NCIH2170_LUNG,Resistance,1.202444399
Nilotinib,NCIH2172_LUNG,Resistance,2.079441542
Nilotinib,NCIH2228_LUNG,Resistance,2.079441542
Nilotinib,NCIH226_LUNG,Resistance,2.079441542
Nilotinib,NCIH2286_LUNG,Resistance,0.869969161
Nilotinib,NCIH23_LUNG,Resistance,2.006726513
Nilotinib,NCIH2444_LUNG,Resistance,2.079441542
Nilotinib,NCIH2452_PLEURA,Resistance,2.079441542
Nilotinib,NCIH28_PLEURA,Resistance,2.079441542
Nilotinib,NCIH322_LUNG,Resistance,2.079441542
Nilotinib,NCIH3255_LUNG,Resistance,1.964880952
Nilotinib,NCIH358_LUNG,Resistance,2.079441542
Nilotinib,NCIH441_LUNG,Resistance,2.079441542
Nilotinib,NCIH520_LUNG,Resistance,2.079441542
Nilotinib,NCIH522_LUNG,Resistance,2.079441542
Nilotinib,NCIH647_LUNG,Resistance,2.079441542
Nilotinib,NCIH650_LUNG,Resistance,2.079441542
Nilotinib,NCIH661_LUNG,Resistance,2.079441542
Nilotinib,NCIH727_LUNG,Resistance,2.079441542
Nilotinib,NCIH747_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,NCIH810_LUNG,Resistance,1.75397893
Nilotinib,NCIN87_STOMACH,Resistance,1.319962151
Nilotinib,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,-4.879520193
Nilotinib,NIHOVCAR3_OVARY,Resistance,2.079441542
Nilotinib,NUGC3_STOMACH,Resistance,2.079441542
Nilotinib,NUGC4_STOMACH,Resistance,1.471721335
Nilotinib,OC314_OVARY,Resistance,2.079441542
Nilotinib,OC315_OVARY,Resistance,2.079441542
Nilotinib,OC316_OVARY,Resistance,2.079441542
Nilotinib,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.916644914
Nilotinib,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.983161476
Nilotinib,OCUM1_STOMACH,Resistance,2.079441542
Nilotinib,OE33_OESOPHAGUS,Resistance,2.079441542
Nilotinib,ONCODG1_OVARY,Resistance,2.079441542
Nilotinib,ONS76_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,OV90_OVARY,Resistance,1.902635011
Nilotinib,OVCAR4_OVARY,Resistance,2.079441542
Nilotinib,OVCAR8_OVARY,Resistance,2.024269684
Nilotinib,OVMANA_OVARY,Resistance,2.079441542
Nilotinib,OVSAHO_OVARY,Resistance,2.079441542
Nilotinib,OVTOKO_OVARY,Resistance,2.079441542
Nilotinib,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,PANC0203_PANCREAS,Resistance,2.079441542
Nilotinib,PANC0327_PANCREAS,Resistance,2.079441542
Nilotinib,PANC0403_PANCREAS,Resistance,2.079441542
Nilotinib,PANC1005_PANCREAS,Resistance,2.079441542
Nilotinib,PC3_PROSTATE,Resistance,2.079441542
Nilotinib,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,PK1_PANCREAS,Resistance,2.079441542
Nilotinib,PK45H_PANCREAS,Resistance,2.079441542
Nilotinib,PK59_PANCREAS,Resistance,2.079441542
Nilotinib,PL45_PANCREAS,Resistance,2.079441542
Nilotinib,PLCPRF5_LIVER,Resistance,2.040430238
Nilotinib,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,RERFGC1B_STOMACH,Resistance,2.079441542
Nilotinib,RERFLCAI_LUNG,Resistance,2.079441542
Nilotinib,RERFLCMS_LUNG,Resistance,2.079441542
Nilotinib,RKO_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,RL952_ENDOMETRIUM,Resistance,2.079441542
Nilotinib,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,RT112_URINARY_TRACT,Resistance,2.079441542
Nilotinib,RT4_URINARY_TRACT,Resistance,2.079441542
Nilotinib,RVH421_SKIN,Resistance,2.079441542
Nilotinib,SAOS2_BONE,Resistance,1.742687991
Nilotinib,SBC5_LUNG,Resistance,2.079441542
Nilotinib,SCABER_URINARY_TRACT,Resistance,2.079441542
Nilotinib,SF126_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,SF295_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,SH10TC_STOMACH,Resistance,2.076576538
Nilotinib,SHP77_LUNG,Resistance,2.079441542
Nilotinib,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,0.500533357
Nilotinib,SIMA_AUTONOMIC_GANGLIA,Resistance,2.079441542
Nilotinib,SJRH30_SOFT_TISSUE,Resistance,2.079441542
Nilotinib,SKBR3_BREAST,Resistance,2.079441542
Nilotinib,SKCO1_LARGE_INTESTINE,Sensitivity,-1.837552109
Nilotinib,SKES1_BONE,Resistance,2.079441542
Nilotinib,SKHEP1_LIVER,Resistance,2.079441542
Nilotinib,SKLU1_LUNG,Resistance,2.079441542
Nilotinib,SKMEL2_SKIN,Resistance,2.079441542
Nilotinib,SKMEL24_SKIN,Resistance,1.931975976
Nilotinib,SKMEL30_SKIN,Resistance,2.079441542
Nilotinib,SKMEL31_SKIN,Resistance,2.021074429
Nilotinib,SKMEL5_SKIN,Resistance,2.079441542
Nilotinib,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,SKNBE2_AUTONOMIC_GANGLIA,Resistance,2.079441542
Nilotinib,SKNSH_AUTONOMIC_GANGLIA,Resistance,1.64970305
Nilotinib,SKOV3_OVARY,Resistance,2.079441542
Nilotinib,SNGM_ENDOMETRIUM,Resistance,2.079441542
Nilotinib,SNU1_STOMACH,Resistance,2.079441542
Nilotinib,SNU16_STOMACH,Sensitivity,-3.005890817
Nilotinib,SNU182_LIVER,Resistance,2.079441542
Nilotinib,SNU423_LIVER,Resistance,2.079441542
Nilotinib,SNU449_LIVER,Resistance,2.079441542
Nilotinib,SNUC2A_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.617796551
Nilotinib,SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,-2.310213576
Nilotinib,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.756221719
Nilotinib,SUIT2_PANCREAS,Resistance,2.079441542
Nilotinib,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,SW1088_CENTRAL_NERVOUS_SYSTEM,Sensitivity,0.020755339
Nilotinib,SW1271_LUNG,Resistance,2.079441542
Nilotinib,SW1353_BONE,Resistance,2.079441542
Nilotinib,SW1990_PANCREAS,Resistance,2.058418954
Nilotinib,SW403_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,SW48_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,SW480_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,SW579_THYROID,Resistance,1.182981029
Nilotinib,SW620_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,SW780_URINARY_TRACT,Resistance,2.079441542
Nilotinib,SW900_LUNG,Resistance,2.079441542
Nilotinib,T24_URINARY_TRACT,Resistance,2.079441542
Nilotinib,T3M10_LUNG,Resistance,2.079441542
Nilotinib,T47D_BREAST,Resistance,2.079441542
Nilotinib,T84_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,T98G_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,TC71_BONE,Resistance,2.079441542
Nilotinib,TCCSUP_URINARY_TRACT,Resistance,2.079441542
Nilotinib,TE617T_SOFT_TISSUE,Resistance,0.857956172
Nilotinib,TE9_OESOPHAGUS,Resistance,1.805563791
Nilotinib,TEN_ENDOMETRIUM,Resistance,2.079441542
Nilotinib,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,TOV112D_OVARY,Resistance,2.079441542
Nilotinib,TOV21G_OVARY,Resistance,2.079441542
Nilotinib,TT2609C02_THYROID,Resistance,1.589884194
Nilotinib,TYKNU_OVARY,Resistance,2.079441542
Nilotinib,U118MG_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,U2OS_BONE,Resistance,2.004299298
Nilotinib,U87MG_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
