ID,cell_name,drug_name,IC50
144,BFTC-909,Etoposide,-0.06
145,BFTC-909,Gemcitabine,1.47
146,BFTC-909,Mitomycin C,0.94
147,BFTC-909,Vinorelbine,1.86
148,BFTC-909,NSC-87877,-2.29
149,BFTC-909,QS11,-1.52
150,BFTC-909,CP466722,-1.49
151,BFTC-909,Midostaurin,0.48
152,BFTC-909,AP-24534,-0.51
153,BFTC-909,JNK-9L,0.34
154,BFTC-909,PF-562271,-1.22
155,BFTC-909,HG-6-64-1,-0.53
156,BFTC-909,DMOG,-2.43
157,BFTC-909,FTI-277,-0.95
158,BFTC-909,OSU-03012,-0.56
159,BFTC-909,Shikonin,-0.14
160,BFTC-909,AKT inhibitor VIII,-0.68
161,BFTC-909,Embelin,-1.15
162,BFTC-909,FH535,-0.41
163,BFTC-909,PAC-1,-1.5
164,BFTC-909,IPA-3,-2.47
165,BFTC-909,GSK-650394,-0.91
166,BFTC-909,BAY 61-3606,-1.34
167,BFTC-909,5-Fluorouracil,-2.04
168,BFTC-909,Thapsigargin,2.22
169,BFTC-909,Obatoclax Mesylate,0.29
170,BFTC-909,BMS-754807,-0.45
171,BFTC-909,OSI-906,-1.08
172,BFTC-909,Bexarotene,-1.05
173,BFTC-909,Bleomycin,0.55
174,BFTC-909,LFM-A13,-1.79
175,BFTC-909,GW-2580,-2.34
176,BFTC-909,Phenformin,-3.61
177,BFTC-909,Bryostatin 1,1.37
178,BFTC-909,Pazopanib,-1.19
179,BFTC-909,LAQ824,1.38
180,BFTC-909,Epothilone B,2.77
181,BFTC-909,GSK-1904529A,-1.1
182,BFTC-909,BMS-345541,-2.01
183,BFTC-909,Tipifarnib,-0.65
184,BFTC-909,Ruxolitinib,-1.82
185,BFTC-909,AS601245,-1.04
186,BFTC-909,SB-715992,0.15
187,BFTC-909,AT-7519,-1.92
188,BFTC-909,TAK-715,-2.11
189,BFTC-909,BX-912,-1.32
190,BFTC-909,ZSTK474,-1.14
191,BFTC-909,AS605240,-2.04
192,BFTC-909,GSK1070916,-1.51
193,BFTC-909,LY317615,-2.06
194,BFTC-909,GSK429286A,-2.04
195,BFTC-909,FMK,-2.4
196,BFTC-909,CAL-101,-2.36
197,BFTC-909,XL-184,-1.48
198,BFTC-909,AC220,-0.98
199,BFTC-909,CP724714,-1.87
200,BFTC-909,STF-62247,-2.03
201,BFTC-909,NG-25,-1.83
202,BFTC-909,VX-11e,-1.55
203,BFTC-909,FR-180204,-2.28
204,BFTC-909,Tubastatin A,-2.4
205,BFTC-909,YM155,1.53
206,BFTC-909,NSC-207895,-2.34
207,BFTC-909,AR-42,-0.19
208,BFTC-909,CUDC-101,-0.17
209,BFTC-909,I-BET 151,-2.4
210,BFTC-909,CAY10603,-0.64
211,BFTC-909,ABT-869,-1.01
212,BFTC-909,BIX02189,-2.3
213,BFTC-909,CH5424802,-1.78
214,BFTC-909,EKB-569,-1.47
215,BFTC-909,GSK2126458,0.29
216,BFTC-909,Masitinib,-2.13
217,BFTC-909,MP470,-1.88
218,BFTC-909,NVP-BHG712,-1.99
219,BFTC-909,OSI-930,-1.8
220,BFTC-909,OSI-027,-1.85
221,BFTC-909,CX-5461,-2.11
222,BFTC-909,PHA-793887,-2.11
223,BFTC-909,PI-103,-1.11
224,BFTC-909,PIK-93,-1.93
225,BFTC-909,TPCA-1,-1.93
226,BFTC-909,TG101348,-1.66
227,BFTC-909,XL-880,-0.49
228,BFTC-909,Y-39983,-2.08
229,BFTC-909,YM201636,-1.15
230,BFTC-909,AV-951,-0.2
231,BFTC-909,GSK690693,-2.11
232,BFTC-909,SNX-2112,-0.19
233,BFTC-909,QL-X-138,-1.21
234,BFTC-909,T0901317,-1.88
235,BFTC-909,EX-527,-2.24
236,BFTC-909,CCT007093,-1.82
237,BFTC-909,EHT 1864,-1.26
238,BFTC-909,PF-4708671,-1.8
239,BFTC-909,JNJ-26854165,-1.05
240,BFTC-909,TW 37,0.73
241,BFTC-909,CCT018159,-0.8
242,BFTC-909,AG-014699,-1.24
243,BFTC-909,SB-505124,-1.43
244,BFTC-909,Tamoxifen,-1.16
245,BFTC-909,PFI-1,-1.11
246,BFTC-909,IOX2,-0.01
247,BFTC-909,YK 4-279,-0.32
248,BFTC-909,(5Z)-7-Oxozeaenol,0.05
249,BFTC-909,piperlongumine,-0.23
250,BFTC-909,FK866,1.6
251,BFTC-909,BMN-673,-0.32
252,BFTC-909,UNC1215,-0.92
253,BFTC-909,SGC0946,-0.75
254,BFTC-909,XAV 939,-0.8
255,BFTC-909,Trametinib,0.43
256,BFTC-909,Dabrafenib,-1.79
257,BFTC-909,Temozolomide,-1.94
258,BFTC-909,SN-38,2.41
259,BFTC-909,MLN4924,0.2
260,RT-112,Doxorubicin,1.65
261,RT-112,Etoposide,0.29
262,RT-112,Gemcitabine,2.35
263,RT-112,Mitomycin C,0.77
264,RT-112,Vinorelbine,2.46
265,RT-112,NSC-87877,-2.29
266,RT-112,QS11,-0.84
267,RT-112,CP466722,-1.51
268,RT-112,Midostaurin,0.51
269,RT-112,AP-24534,0.62
270,RT-112,JNK-9L,0.38
271,RT-112,PF-562271,-0.12
272,RT-112,HG-6-64-1,0.23
273,RT-112,DMOG,-2.38
274,RT-112,FTI-277,-0.77
275,RT-112,OSU-03012,-0.13
276,RT-112,Shikonin,0.58
277,RT-112,AKT inhibitor VIII,-0.66
278,RT-112,Embelin,-1
279,RT-112,FH535,-0.78
280,RT-112,PAC-1,-0.54
281,RT-112,IPA-3,-1.17
282,RT-112,GSK-650394,0.04
283,RT-112,BAY 61-3606,-1.43
284,RT-112,5-Fluorouracil,-1.09
285,RT-112,Thapsigargin,2.34
286,RT-112,Obatoclax Mesylate,0.78
287,RT-112,BMS-754807,0.28
288,RT-112,OSI-906,-0.63
289,RT-112,Bexarotene,-2.05
290,RT-112,Bleomycin,-0.04
291,RT-112,LFM-A13,-1.73
292,RT-112,GW-2580,-2.46
293,RT-112,Phenformin,-3.99
294,RT-112,Bryostatin 1,2.06
295,RT-112,Pazopanib,-0.06
296,RT-112,LAQ824,2
297,RT-112,Epothilone B,3.08
298,RT-112,GSK-1904529A,-1.08
299,RT-112,BMS-345541,-1.24
300,RT-112,Tipifarnib,0.37
301,RT-112,Ruxolitinib,-1.89
302,RT-112,AS601245,-1.02
303,RT-112,SB-715992,1.52
304,RT-112,AT-7519,0.29
305,RT-112,TAK-715,-2.5
306,RT-112,BX-912,-0.46
307,RT-112,ZSTK474,-0.1
308,RT-112,AS605240,-1.3
309,RT-112,GSK1070916,0.99
310,RT-112,LY317615,-1.6
311,RT-112,GSK429286A,-2.4
312,RT-112,FMK,-2.43
313,RT-112,CAL-101,-1.98
314,RT-112,XL-184,-0.84
315,RT-112,AC220,-1.03
316,RT-112,CP724714,-2
317,RT-112,STF-62247,-2.21
318,RT-112,NG-25,-0.73
319,RT-112,VX-11e,-1.35
320,RT-112,FR-180204,-1.96
321,RT-112,Tubastatin A,-1.62
322,RT-112,YM155,2
323,RT-112,NSC-207895,-1.13
324,RT-112,AR-42,0.38
325,RT-112,CUDC-101,0.39
326,RT-112,I-BET 151,-2.41
327,RT-112,CAY10603,-0.28
328,RT-112,ABT-869,-0.7
329,RT-112,BIX02189,-1.57
330,RT-112,CH5424802,-1.68
331,RT-112,EKB-569,-1.57
332,RT-112,GSK2126458,1.66
333,RT-112,Masitinib,-1.71
334,RT-112,MP470,-2.16
335,RT-112,NVP-BHG712,-1.25
336,RT-112,OSI-930,-2.2
337,RT-112,OSI-027,0.02
338,RT-112,CX-5461,-1.53
339,RT-112,PHA-793887,-0.75
340,RT-112,PI-103,0.57
341,RT-112,PIK-93,-0.93
342,RT-112,TPCA-1,-0.87
343,RT-112,TG101348,-0.75
344,RT-112,XL-880,0.56
345,RT-112,Y-39983,-1.22
346,RT-112,YM201636,-0.98
347,RT-112,AV-951,0.05
348,RT-112,GSK690693,-1.25
349,RT-112,SNX-2112,1.23
350,RT-112,QL-X-138,-0.37
351,RT-112,T0901317,-1.84
352,RT-112,EX-527,-2.4
353,RT-112,CCT007093,-1.88
354,RT-112,EHT 1864,-2.05
355,RT-112,PF-4708671,-1.98
356,RT-112,JNJ-26854165,-0.81
357,RT-112,TW 37,0.25
358,RT-112,CCT018159,-0.9
359,RT-112,AG-014699,-1.42
360,RT-112,SB-505124,-2.14
361,RT-112,Tamoxifen,-1.84
362,RT-112,PFI-1,-1.88
363,RT-112,IOX2,-0.14
364,RT-112,YK 4-279,-0.34
365,RT-112,(5Z)-7-Oxozeaenol,0.04
366,RT-112,piperlongumine,-0.67
367,RT-112,FK866,1.63
368,RT-112,BMN-673,-1.61
369,RT-112,UNC1215,-1.14
370,RT-112,SGC0946,-0.45
371,RT-112,XAV 939,-1.84
372,RT-112,Trametinib,0.34
373,RT-112,Dabrafenib,-1.53
374,RT-112,Temozolomide,-2.62
375,RT-112,SN-38,1.67
376,RT-112,MLN4924,-0.28
377,SK-N-DZ,Erlotinib,-1.2
378,SK-N-DZ,Rapamycin,0.03
379,SK-N-DZ,Sunitinib,-0.77
380,SK-N-DZ,PHA-665752,-1.11
381,SK-N-DZ,MG-132,-0.18
382,SK-N-DZ,Paclitaxel,1.12
383,SK-N-DZ,Cyclopamine,-2.29
384,SK-N-DZ,AZ628,-1.48
385,SK-N-DZ,Sorafenib,-0.56
386,SK-N-DZ,VX-680,-0.02
387,SK-N-DZ,Imatinib,-1.12
388,SK-N-DZ,NVP-TAE684,-0.37
389,SK-N-DZ,Crizotinib,-1.02
390,SK-N-DZ,AZD-0530,-0.26
391,SK-N-DZ,S-Trityl-L-cysteine,-0.47
392,SK-N-DZ,Z-LLNle-CHO,-0.35
393,SK-N-DZ,Dasatinib,-0.2
394,SK-N-DZ,GNF-2,-1.07
395,SK-N-DZ,CGP-60474,0.79
396,SK-N-DZ,CGP-082996,-1.2
397,SK-N-DZ,A-770041,-1.13
398,SK-N-DZ,WH-4-023,-0.86
399,SK-N-DZ,BI-2536,0.74
400,SK-N-DZ,BMS-509744,-1.36
401,SK-N-DZ,CMK,-0.48
402,SK-N-DZ,Pyrimethamine,-1.7
403,SK-N-DZ,A-443654,-0.23
404,SK-N-DZ,GW843682X,1.53
405,SK-N-DZ,MS-275,-0.09
406,SK-N-DZ,Parthenolide,-0.7
407,SK-N-DZ,TGX221,-1.32
408,SK-N-DZ,Bortezomib,2.64
409,SK-N-DZ,XMD8-85,-0.78
410,SK-N-DZ,Roscovitine,-1.96
411,SK-N-DZ,Salubrinal,-2.2
412,SK-N-DZ,Lapatinib,-1.16
413,SK-N-DZ,Doxorubicin,-0.01
414,SK-N-DZ,Etoposide,-1.45
415,SK-N-DZ,Gemcitabine,0.6
416,SK-N-DZ,Mitomycin C,-0.37
417,SK-N-DZ,Vinorelbine,0.63
418,SK-N-DZ,NSC-87877,-2.3
419,SK-N-DZ,QS11,-0.42
420,SK-N-DZ,CP466722,-1.65
421,SK-N-DZ,Midostaurin,-0.23
422,SK-N-DZ,AP-24534,-0.78
423,SK-N-DZ,JNK-9L,-0.31
424,SK-N-DZ,PF-562271,-1.14
425,SK-N-DZ,HG-6-64-1,-1.26
426,SK-N-DZ,DMOG,-3.1
427,SK-N-DZ,FTI-277,-1.04
428,SK-N-DZ,OSU-03012,-0.89
429,SK-N-DZ,Shikonin,-0.14
430,SK-N-DZ,AKT inhibitor VIII,-1.48
431,SK-N-DZ,Embelin,-1.35
432,SK-N-DZ,FH535,-1.21
433,SK-N-DZ,PAC-1,-1.23
434,SK-N-DZ,IPA-3,-1.04
435,SK-N-DZ,GSK-650394,-1.45
436,SK-N-DZ,BAY 61-3606,-1.12
437,SK-N-DZ,5-Fluorouracil,-1.11
438,SK-N-DZ,Thapsigargin,1.27
439,SK-N-DZ,Obatoclax Mesylate,-0.03
440,SK-N-DZ,BMS-754807,1
441,SK-N-DZ,OSI-906,0.61
442,SK-N-DZ,Bexarotene,-1.52
443,SK-N-DZ,Bleomycin,-1.86
444,SK-N-DZ,LFM-A13,-1.27
445,SK-N-DZ,GW-2580,-2.42
446,SK-N-DZ,Phenformin,-3.53
447,SK-N-DZ,Bryostatin 1,1.46
448,SK-N-DZ,Pazopanib,-0.19
449,SK-N-DZ,LAQ824,1.31
450,SK-N-DZ,Epothilone B,2.13
451,SK-N-DZ,GSK-1904529A,-1.07
452,SK-N-DZ,BMS-345541,-1.74
453,SK-N-DZ,Ruxolitinib,-1.84
454,SK-N-DZ,AS601245,-1.05
455,SK-N-DZ,SB-715992,-0.03
456,SK-N-DZ,AT-7519,-1.73
457,SK-N-DZ,TAK-715,-1.7
458,SK-N-DZ,BX-912,-1.3
459,SK-N-DZ,ZSTK474,-0.44
460,SK-N-DZ,AS605240,-1.72
461,SK-N-DZ,GSK1070916,-1.28
462,SK-N-DZ,LY317615,-2.39
463,SK-N-DZ,GSK429286A,-2.23
464,SK-N-DZ,FMK,-2.23
465,SK-N-DZ,CAL-101,-2.41
466,SK-N-DZ,XL-184,-0.95
467,SK-N-DZ,AC220,-1.13
468,SK-N-DZ,CP724714,-1.57
469,SK-N-DZ,STF-62247,-1.73
470,SK-N-DZ,NG-25,-1.16
471,SK-N-DZ,VX-11e,-1.75
472,SK-N-DZ,FR-180204,-2.37
473,SK-N-DZ,Tubastatin A,-2.38
474,SK-N-DZ,YM155,0.5
475,SK-N-DZ,NSC-207895,-2.18
476,SK-N-DZ,AR-42,-0.09
477,SK-N-DZ,CUDC-101,-0.27
478,SK-N-DZ,I-BET 151,-1.79
479,SK-N-DZ,CAY10603,-0.4
480,SK-N-DZ,ABT-869,-0.98
481,SK-N-DZ,BIX02189,-2.26
482,SK-N-DZ,CH5424802,-1.83
483,SK-N-DZ,EKB-569,-1.36
484,SK-N-DZ,GSK2126458,-0.15
485,SK-N-DZ,Masitinib,-2.02
486,SK-N-DZ,MP470,0.37
487,SK-N-DZ,NVP-BHG712,-1.54
488,SK-N-DZ,OSI-930,-1.97
489,SK-N-DZ,OSI-027,-1.48
490,SK-N-DZ,CX-5461,-1.09
491,SK-N-DZ,PHA-793887,-2.13
492,SK-N-DZ,PI-103,-1.59
493,SK-N-DZ,PIK-93,-1.55
494,SK-N-DZ,TPCA-1,-1.27
495,SK-N-DZ,TG101348,-1.17
496,SK-N-DZ,XL-880,-0.12
497,SK-N-DZ,Y-39983,-1.7
498,SK-N-DZ,YM201636,-1.35
499,SK-N-DZ,AV-951,-0.13
500,SK-N-DZ,GSK690693,-2.13
501,SK-N-DZ,SNX-2112,0.12
502,SK-N-DZ,QL-X-138,-1.59
503,SK-N-DZ,T0901317,-1.56
504,SK-N-DZ,EX-527,-2.23
505,SK-N-DZ,AICAR,-2.88
506,SK-N-DZ,Camptothecin,1.75
507,SK-N-DZ,Vinblastine,1.47
508,SK-N-DZ,Cisplatin,-1.07
509,SK-N-DZ,Cytarabine,0.18
510,SK-N-DZ,Docetaxel,1.92
511,SK-N-DZ,Methotrexate,0.45
512,SK-N-DZ,ATRA,-1.43
513,SK-N-DZ,Gefitinib,0.26
514,SK-N-DZ,Vorinostat,0
515,SK-N-DZ,Nilotinib,-1.29
516,SK-N-DZ,CI-1040,-1.29
517,SK-N-DZ,Temsirolimus,0.43
518,SK-N-DZ,Olaparib,-1.65
519,SK-N-DZ,ABT-888,-1.79
520,SK-N-DZ,Bosutinib,-0.37
521,SK-N-DZ,Lenalidomide,-1.79
522,SK-N-DZ,Axitinib,-0.49
523,SK-N-DZ,AZD7762,0.17
524,SK-N-DZ,GW 441756,-1.42
525,SK-N-DZ,CEP-701,0.54
526,SK-N-DZ,SB 216763,-1.87
527,SK-N-DZ,VX-702,-1.04
528,SK-N-DZ,Elesclomol,0.87
529,SK-N-DZ,Afatinib,-0.8
530,SK-N-DZ,Vismodegib,-1.91
531,SK-N-DZ,CCT007093,-1.63
532,SK-N-DZ,EHT 1864,-1.27
533,SK-N-DZ,PF-4708671,-1.58
534,SK-N-DZ,JNJ-26854165,-0.58
535,SK-N-DZ,TW 37,0.93
536,SK-N-DZ,ZG-10,-0.81
537,SK-N-DZ,XMD8-92,-0.96
538,SK-N-DZ,CCT018159,-0.89
539,SK-N-DZ,AG-014699,-1.43
540,SK-N-DZ,SB-505124,-2.08
541,SK-N-DZ,Tamoxifen,-1.24
542,SK-N-DZ,PFI-1,-0.84
543,SK-N-DZ,IOX2,-0.07
544,SK-N-DZ,YK 4-279,-0.05
545,SK-N-DZ,(5Z)-7-Oxozeaenol,0.45
546,SK-N-DZ,piperlongumine,-0.43
547,SK-N-DZ,FK866,-1.02
548,SK-N-DZ,BMN-673,-1.62
549,SK-N-DZ,UNC1215,-1.08
550,SK-N-DZ,SGC0946,-0.78
551,SK-N-DZ,XAV 939,-1.78
552,SK-N-DZ,Trametinib,0.32
553,SK-N-DZ,Temozolomide,-2.55
554,SK-N-DZ,SN-38,2.4
555,SNU-182,Doxorubicin,1.17
556,SNU-182,Etoposide,-0.11
557,SNU-182,Gemcitabine,1.82
558,SNU-182,Mitomycin C,1.14
559,SNU-182,Vinorelbine,1.99
560,SNU-182,NSC-87877,-2.18
561,SNU-182,QS11,-1.59
562,SNU-182,CP466722,-0.53
563,SNU-182,Midostaurin,0.21
564,SNU-182,AP-24534,-0.62
565,SNU-182,JNK-9L,0.08
566,SNU-182,PF-562271,-0.81
567,SNU-182,HG-6-64-1,-0.31
568,SNU-182,DMOG,-2.22
569,SNU-182,FTI-277,-1.14
570,SNU-182,OSU-03012,-0.54
571,SNU-182,Shikonin,-0.44
572,SNU-182,AKT inhibitor VIII,-0.63
573,SNU-182,Embelin,-0.82
574,SNU-182,FH535,-0.99
575,SNU-182,PAC-1,-0.91
576,SNU-182,IPA-3,-1.29
577,SNU-182,GSK-650394,-1.41
578,SNU-182,BAY 61-3606,-1.05
579,SNU-182,5-Fluorouracil,-2.1
580,SNU-182,Thapsigargin,2.49
581,SNU-182,Obatoclax Mesylate,1.16
582,SNU-182,BMS-754807,-0.79
583,SNU-182,OSI-906,-1.37
584,SNU-182,Bexarotene,-1.21
585,SNU-182,Bleomycin,-1.04
586,SNU-182,LFM-A13,-2.13
587,SNU-182,GW-2580,-2.21
588,SNU-182,Phenformin,-4.45
589,SNU-182,Bryostatin 1,1.27
590,SNU-182,Pazopanib,-1.69
591,SNU-182,LAQ824,1.04
592,SNU-182,Epothilone B,2.19
593,SNU-182,GSK-1904529A,-0.94
594,SNU-182,BMS-345541,-1.13
595,SNU-182,Tipifarnib,-0.93
596,SNU-182,Ruxolitinib,-0.59
597,SNU-182,AS601245,-1.07
598,SNU-182,SB-715992,1.87
599,SNU-182,AT-7519,0.33
600,SNU-182,TAK-715,-1.5
601,SNU-182,BX-912,-0.1
602,SNU-182,ZSTK474,0.25
603,SNU-182,AS605240,-0.49
604,SNU-182,GSK1070916,1.07
605,SNU-182,LY317615,-0.83
606,SNU-182,GSK429286A,-1.64
607,SNU-182,FMK,-1.67
608,SNU-182,CAL-101,-1.57
609,SNU-182,XL-184,-1.32
610,SNU-182,AC220,-1.19
611,SNU-182,CP724714,-1.75
612,SNU-182,STF-62247,-1.79
613,SNU-182,NG-25,-1.28
614,SNU-182,VX-11e,-1.83
615,SNU-182,FR-180204,-2.32
616,SNU-182,Tubastatin A,-2.23
617,SNU-182,YM155,1.18
618,SNU-182,NSC-207895,-1.86
619,SNU-182,AR-42,0.3
620,SNU-182,CUDC-101,0.96
621,SNU-182,I-BET 151,-1.12
622,SNU-182,CAY10603,-0.13
623,SNU-182,ABT-869,-1.08
624,SNU-182,BIX02189,-1.93
625,SNU-182,CH5424802,-1.83
626,SNU-182,EKB-569,-0.35
627,SNU-182,GSK2126458,1.41
628,SNU-182,Masitinib,-1.78
629,SNU-182,MP470,-1.86
630,SNU-182,NVP-BHG712,-1.4
631,SNU-182,OSI-930,-2.07
632,SNU-182,OSI-027,-0.95
633,SNU-182,CX-5461,-1.9
634,SNU-182,PHA-793887,-1.69
635,SNU-182,PI-103,0.31
636,SNU-182,PIK-93,-1.1
637,SNU-182,TPCA-1,-1.16
638,SNU-182,TG101348,-0.61
639,SNU-182,XL-880,0.05
640,SNU-182,Y-39983,-1.7
641,SNU-182,YM201636,-0.69
642,SNU-182,AV-951,-0.25
643,SNU-182,GSK690693,-2.18
644,SNU-182,SNX-2112,0.42
645,SNU-182,QL-X-138,-0.97
646,SNU-182,T0901317,-1.92
647,SNU-182,EX-527,-2.48
648,SNU-182,AICAR,-3.3
649,SNU-182,Camptothecin,2.28
650,SNU-182,Vinblastine,2.61
651,SNU-182,Cisplatin,-0.68
652,SNU-182,Cytarabine,0.26
653,SNU-182,Docetaxel,2.96
654,SNU-182,Methotrexate,-0.42
655,SNU-182,ATRA,-2.18
656,SNU-182,Gefitinib,-0.2
657,SNU-182,ABT-263,-0.06
658,SNU-182,Vorinostat,-0.38
659,SNU-182,Nilotinib,-1.06
660,SNU-182,RDEA119,-1.06
661,SNU-182,Temsirolimus,1.85
662,SNU-182,Olaparib,-1.88
663,SNU-182,ABT-888,-1.88
664,SNU-182,Bosutinib,-0.48
665,SNU-182,Lenalidomide,-1.88
666,SNU-182,Axitinib,0.02
667,SNU-182,AZD7762,1
668,SNU-182,GW 441756,-0.19
669,SNU-182,CEP-701,0.66
670,SNU-182,17-AAG,0.12
671,SNU-182,VX-702,-1.27
672,SNU-182,AMG-706,-0.71
673,SNU-182,KU-55933,-1.67
674,SNU-182,Elesclomol,1.9
675,SNU-182,Afatinib,-0.16
676,SNU-182,Vismodegib,-1.79
677,SNU-182,PLX4720,-1.73
678,SNU-182,BX-795,-0.81
679,SNU-182,NU-7441,-1.14
680,SNU-182,BIRB 0796,-1.19
681,SNU-182,JNK Inhibitor VIII,-1.19
